rid,title,english,synonyms,meaning,conjugation,likes,views,createdAt,updatedAt
1,aa!,ah!,,"ni neno la kuonyesha mshangao,furaha au kukubali:ahaa!| neno la kuonyesha uchungu: aa!| neno la kuonyesha kukataa",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
2,a!,oh!,,sauti anayoitoa mtu anaposhangaa| sauti anayotoa mtu kuonyesha dharau,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
3,aalimu,Islamic scholar,,mwenye elimu kubwa ya dini ya Kiislamu,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
4,aa!,ugh!,,neno linalotumika kuonyesha kutoridhika| tazama ahaa!,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
5,aalam,Omniscient (God),,(Mungu) mwenye kujua zaidi: Allahu ya aalam,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
6,abdi,servant of God,abidi,"mlimwengu, mja wa Mwenyezi Mungu",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
7,abadani,never,"hata kidogo, katakata, kamwe, asilani, katu",neno la kusisitiza jambo lililotajwa ambalo limekanushwa : Sitakuja kwako abadani.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
8,abiri,cross/board,vuka,"safiri kwa chombo cha majini kutoka upande mmoja wa mto, ziwa au bahari hadi upande mwingine : Tuliabiri bahari kwa meli.| ingia chombo cha kusafiri kwa mfano basi, meli, mashua na kadhalika","abiria, abirika, abirisha",0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
9,abadi,forever,"daima, milele",neno linaloonyesha kutokoma kwa muda : Anaishi hapa abadi.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
10,abra,opportunity,"nafasi, muda",fursa ya kufanya jambo,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
11,abiria,passenger,,"mtu anayetoka mahali fulani na kwenda pengine kwa kutumia chombo kwa mfano basi, treni na kadhalika na ambaye si mfanyakazi wa chombo hicho",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
12,abee!,yes? (response for women),"bee!, beka!",neno la kuitikia wito litumiwalo na wanawake wanapoitwa,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
13,aazi,valuable,bora,-enye thamani : Fursa niliyopewa ni kitu aazi kwangu.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
14,aalimu,Islamic scholar,"mtaalamu, mufti",mtu aliyebobea katika elimu ya dini ya Kiislamu,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
15,aali,supreme,"aula, bora, adhimu",hali ya juu : Almasi ni madini aali.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
16,abedari,ship's winch,kapi,roda inayotumiwa kuvutia vitu kwenye jahazi,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
17,abaa!,hey! (to get attention),"aisee, halo, oha",neno linalojenga usikivu wa yule unayemwita,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
18,aazi,valuable person,"mwandani, muhibu",mtu wa thamani,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
19,abakusi,abacus,,kifaa chenye shanga au vihesabio vilivyotungwa kwenye nyuzi au nyaya kwa ajili ya kuhesabia,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
20,abtathi,alphabet,,alfabeti,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
21,aathari,archaeological remains,,"mabaki (yatokanayo) na vitu vya zamani vinavyohusiana na mila, utamaduni na desturi za watu wa jamii fulani kwa mfano: makaburi ya wafalme, nyumba, mahekalu, vigae vya vitu vya ufinyanzi na kadhalika",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
22,abiri,explain/predict,"tabiri, bashiri",toa maelezo ya kitu kwa usahihi na kwa kueleweka vyema| eleza jambo litakalotokea kabla ya kutokea kwake,"abiria, abirika, abirisha, abiriwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
23,abiri,learn a lesson,"makinika, tahadhari",pata fundisho kutokana na jambo fulani,"abiria, abiriana, abirisha",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
24,abjadi,alphabet,"alfabeti, abtathi",orodha ya herufi za lugha fulani : Abjadi za Kiswahili,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
25,abudu,love intensely,husudu,penda kitu au mtu sana,"abudia, abudiana, abudisha, abudiwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
26,abudu,doll,mwanasesere,mtoto wa bandia,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
27,abunusi,ebony tree,mpingo,mti ulio na kiini cheusi kikubwa na kigumu kinachotumika kuchongea vinyago au kutengeneza samani,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
28,abtadi,begin/invoke,,alika kitu au shughuli : Ninaabtadi safari yangu kwa kumwomba Mola; Bismillahi n''abtadi -> ninaanza kwa jina la Mwenyezi Mungu,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
29,abwe!,expression of contempt,ebo!,tamko la kushangaa kwa namna ya kudharau,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
30,abedari,warning,"simile!, kaa chonjo!",neno linalotumika kumtahadharisha mtu,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
31,abu,father,baba,mzazi wa kiume,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
32,abudu,worship,,omba Mungu kufuatana na imani fulani,"abudia, abudisha, abudiwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
33,abyadhi,white,-eupe,enye rangi nyeupe,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
34,acha,stop/leave/abandon,"saza, taliki, koma",sita kufanya jambo: Juma ameacha shule.| telekeza: aliwaacha watoto wake nyumbani bila ya chakula.| toa maelekezo kuhusu jambo la kufanywa na mtu mwingine wakati unapoondoka mahali: Nilipokwenda kwake sikumkuta lakini niliacha ujumbe.| bakiza kitu : Mg,"achana, achika, achisha, achwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
35,acha!,really? (surprise),,neno linalotumiwa kuonyesha mshangao : Acha wee! Ni kweli usemayo?,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
36,abunuwasi,trickster character,,"mhusika mkuu ambaye ni mjanja sana katika hekaya za kale kwa mfano katika ""Hekaya za Abunuwasi'",,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
37,aburani,promise,,ahadi,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
38,achari,pickle,,mchanganyiko wa matunda pamoja na chumvi na pilipili ambao hutumiwa kukipa chakula ladha,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
39,ache!,cheers! (celebration),,neno la kumtakia mtu heri wakati wa sherehe : Ache wana!,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
40,achia,forgive/acquit,,"samehe deni au haki yako, toa hatiani: Mahakama imewaachia huru wafanyabiashara.","achiana, achilia, achiwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
41,abuwabu,French doors,milango,fremu zenye mifuriko zilizopachikwa kwenye sehemu wazi katika jengo na zilizotengwa kwa ajili ya kuingilia au kutokea,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
42,abyadhi,blank card,,karata isiyokuwa na alama yoyote inayotumika katika mchezo wa dhumna,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
43,achika,be divorced,,"pewa talaka, talikiwa : Baluli ameachika baada ya kugombana na mumewe kwa sababu ya ulevi.",,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
44,achama,gape,,weka kinywa wazi mithili ya mtu apigaye miayo,"achamia, achamisha",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
45,adaa,religious duty,,"ulazima unaompasa mtu kuutenda kwa mujibu wa kanuni za dini kwa mfano kuswali, kufunga na kutoa zaka",,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
46,adabu,good manners,heshima,tabia nzuri: Yeye hana adabu.,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
47,adana,musical instrument,,ala mojawapo inayotumiwa katika kupigia muziki,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
48,adapta,adapter,kirekebu,kitu kinachodhibiti umeme unaoingia kwenye kitu kingine kinachotumia umeme,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
49,achisha,stop/dismiss,,simamisha shughuli au tendo fulani lisiendelee: Mkurugenzi amemwachisha kazi karani mkuu.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
50,adade,physical weakness,,udhoofu wa mwili,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
51,ada,fee/custom/habit,,"gharama au karo anayolipa mtu ili apatiwe huduma fulani kwa mfano katika elimu, burudani au kupata uanachama katika chama| mila au desturi za jamii fulani: Kila kabila lina ada zake za maziko.| kawaida katika kufanya jambo: Kunywa chai kila jioni ni ada",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
52,abtali,fighters,"mashujaa wa vitani, nguli",wapiganaji,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
53,adhabu,punishment,,mateso anayopewa mtu kama njia ya kumrudi kwa kosa alilofanya,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
54,adhama,great honor,"utukufu, hadhi",jambo la heshima kubwa : Ilikuwa ni adhama kutembelewa na Rais.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
55,adhana,call to prayer,,"mwito wa swala kwa Waislamu : Waislamu wote waliposikia adhana, walikwenda msikitini kuswali.",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
56,Adamu,Adam,,mtu wa kwanza kuumbwa na Mungu,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
57,achana,separate/divorce,,tengana na mtu aghalabu mke na mume: Maganga na mkewe wameachana.| kuwa mbalimbali kwa vitu vilivyokuwa vimeshikana,"achania, achanisha",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
58,adhibu,punish,,-pa mtu adhabu| tesa,"adhibia, adhibiana, adhibika, adhibisha, adhibiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
